Partida,Renglón,Descripción Completa,Unidad,Cantidad,Precio,Importe
A0101,10,"Trazo y nivelación manual para establecer ejes, banco de nivel y referencias, incluye: materiales, mano de obra, equipo y herramienta",M2,1.0000,9.46,9.46
A0101,90,"Tapial de 2.00 m, de altura a base de lámina pintro y postes metálicos anclados al piso con concreto F'c=100 kg/cm2, incluye: dos puertas de acceso",M,1.0000,1003.37,1003.37
A0101,140,"Renta mensual de sanitario portátil, con tres servicios semanales",MES,1.0000,3342.64,3342.64
A0102,20,"Tala de árbol hasta de 10 cm de diámetro, Incluye: troceo, mano de obra y herramienta",PZA,1.0000,173.71,173.71
A0102,30,"Limpia y desyerbe del terreno, incluye: quema de yerba, y acopio de basura, mano de obra, equipo y herramienta",M2,1.0000,10.86,10.86

